AnoMesDia,Instancia,DataSource,QtdConexoesCriadasDia
20241209,srvpje1goutjb11,ILS,0
20241209,srvpje1goutjb11,ITZ,0
20241209,srvpje1goutjb11,JFAC,0
20241209,srvpje1goutjb11,JFAM,0
20241209,srvpje1goutjb11,JFAP2,0
20241209,srvpje1goutjb11,JFAP,0
20241209,srvpje1goutjb11,JFBA,0
20241209,srvpje1goutjb11,JFDF,0
20241209,srvpje1goutjb11,JFGO,0
20241209,srvpje1goutjb11,JFMA,0
20241209,srvpje1goutjb11,JFMG,0
20241209,srvpje1goutjb11,JFMT,0
20241209,srvpje1goutjb11,JFO,0
20241209,srvpje1goutjb11,JFPA,0
20241209,srvpje1goutjb11,JFPI,0
20241209,srvpje1goutjb11,JFRO,0
20241209,srvpje1goutjb11,JFRR,0
20241209,srvpje1goutjb11,JFTO,0
20241209,srvpje1goutjb11,MBA,0
20241209,srvpje1goutjb11,PSS,0
20241209,srvpje1goutjb11,PjeDS,7051
20241209,srvpje1goutjb11,PjeDspace,0
20241209,srvpje1goutjb11,PjeLogDS,91
20241209,srvpje1goutjb11,STM,0
20241209,srvpje1goutjb11,TBT,0
20241209,srvpje1goutjb11,TRF1,0
20241209,srvpje1goutjb11,UBE,0
20241209,srvpje1goutjb11,UDI,0
20241209,srvpje1goutjb12,ILS,0
20241209,srvpje1goutjb12,ITZ,0
20241209,srvpje1goutjb12,JFAC,0
20241209,srvpje1goutjb12,JFAM,0
20241209,srvpje1goutjb12,JFAP2,0
20241209,srvpje1goutjb12,JFAP,0
20241209,srvpje1goutjb12,JFBA,0
20241209,srvpje1goutjb12,JFDF,0
20241209,srvpje1goutjb12,JFGO,0
20241209,srvpje1goutjb12,JFMA,0
20241209,srvpje1goutjb12,JFMG,0
20241209,srvpje1goutjb12,JFMT,0
20241209,srvpje1goutjb12,JFO,0
20241209,srvpje1goutjb12,JFPA,0
20241209,srvpje1goutjb12,JFPI,0
20241209,srvpje1goutjb12,JFRO,0
20241209,srvpje1goutjb12,JFRR,0
20241209,srvpje1goutjb12,JFTO,0
20241209,srvpje1goutjb12,MBA,0
20241209,srvpje1goutjb12,PSS,0
20241209,srvpje1goutjb12,PjeDS,6510
20241209,srvpje1goutjb12,PjeDspace,0
20241209,srvpje1goutjb12,PjeLogDS,85
20241209,srvpje1goutjb12,STM,0
20241209,srvpje1goutjb12,TBT,0
20241209,srvpje1goutjb12,TRF1,0
20241209,srvpje1goutjb12,UBE,0
20241209,srvpje1goutjb12,UDI,0
20241209,srvpje1goutjb13,ILS,0
20241209,srvpje1goutjb13,ITZ,0
20241209,srvpje1goutjb13,JFAC,0
20241209,srvpje1goutjb13,JFAM,0
20241209,srvpje1goutjb13,JFAP2,0
20241209,srvpje1goutjb13,JFAP,0
20241209,srvpje1goutjb13,JFBA,0
20241209,srvpje1goutjb13,JFDF,0
20241209,srvpje1goutjb13,JFGO,0
20241209,srvpje1goutjb13,JFMA,0
20241209,srvpje1goutjb13,JFMG,0
20241209,srvpje1goutjb13,JFMT,0
